,realAltitude,kalmanAltitude
0,1547.21,1537.69
1,1546.92,1543.41
2,1546.92,1544.83
3,1546.54,1545.33
4,1547.21,1545.76
5,1546.92,1545.98
6,1546.73,1546.1
7,1547.02,1546.23
8,1547.3,1546.36
9,1547.02,1546.44
10,1545.96,1546.39
11,1546.63,1546.41
12,1547.3,1546.49
13,1547.4,1546.56
14,1546.54,1546.56
15,1546.92,1546.58
16,1547.4,1546.63
17,1547.02,1546.66
18,1547.5,1546.71
19,1546.83,1546.71
20,1546.83,1546.72
21,1546.73,1546.72
22,1546.92,1546.73
23,1546.83,1546.73
24,1546.83,1546.74
25,1547.02,1546.75
26,1547.02,1546.76
27,1546.83,1546.76
28,1547.02,1546.77
29,1547.11,1546.78
30,1547.11,1546.79
31,1547.21,1546.81
32,1547.11,1546.82
33,1547.21,1546.83
34,1546.83,1546.83
35,1546.92,1546.83
36,1546.83,1546.83
37,1546.92,1546.84
38,1547.02,1546.84
39,1546.83,1546.84
40,1546.92,1546.84
41,1546.63,1546.84
42,1546.73,1546.83
43,1546.63,1546.83
44,1546.73,1546.83
45,1546.73,1546.82
46,1546.54,1546.82
47,1546.73,1546.82
48,1547.02,1546.82
49,1546.92,1546.82
50,1546.44,1546.81
51,1547.11,1546.82
52,1546.73,1546.82
53,1546.63,1546.82
54,1547.02,1546.82
55,1547.21,1546.83
56,1547.02,1546.83
57,1547.02,1546.83
58,1546.83,1546.83
59,1547.11,1546.84
60,1546.83,1546.84
61,1547.3,1546.85
62,1547.21,1546.85
63,1546.83,1546.85
64,1547.11,1546.86
65,1547.3,1546.86
66,1547.21,1546.87
67,1547.3,1546.88
68,1547.3,1546.88
69,1546.83,1546.88
70,1547.69,1546.9
71,1547.4,1546.9
72,1547.5,1546.91
73,1547.3,1546.92
74,1547.3,1546.92
75,1547.4,1546.93
76,1547.5,1546.94
77,1547.3,1546.94
78,1547.4,1546.95
79,1547.3,1546.96
80,1547.11,1546.96
81,1547.69,1546.97
82,1547.59,1546.98
83,1547.88,1546.99
84,1547.4,1546.99
85,1547.78,1547.0
86,1548.07,1547.02
87,1548.07,1547.03
88,1547.59,1547.04
89,1547.69,1547.05
90,1547.59,1547.06
91,1547.59,1547.06
92,1547.21,1547.06
93,1547.21,1547.07
94,1547.69,1547.07
95,1547.4,1547.08
96,1547.5,1547.08
97,1547.4,1547.09
98,1547.59,1547.09
99,1547.02,1547.09
100,1547.5,1547.1
101,1547.11,1547.1
102,1547.3,1547.1
103,1547.59,1547.11
104,1547.69,1547.11
105,1547.02,1547.11
106,1547.78,1547.12
107,1547.3,1547.12
108,1547.59,1547.13
109,1547.69,1547.13
110,1547.11,1547.13
111,1547.69,1547.14
112,1547.3,1547.14
113,1547.78,1547.15
114,1547.88,1547.16
115,1547.59,1547.16
116,1547.59,1547.16
117,1547.5,1547.17
118,1547.69,1547.17
119,1547.5,1547.18
120,1547.3,1547.18
121,1547.69,1547.18
122,1547.4,1547.19
123,1547.4,1547.19
124,1547.88,1547.19
125,1547.78,1547.2
126,1547.5,1547.2
127,1547.4,1547.21
128,1547.3,1547.21
129,1547.3,1547.21
130,1547.02,1547.21
131,1547.5,1547.21
132,1547.4,1547.21
133,1547.78,1547.22
134,1547.59,1547.22
135,1547.69,1547.22
136,1547.59,1547.23
137,1547.02,1547.23
138,1547.3,1547.23
139,1547.02,1547.22
140,1547.98,1547.23
141,1547.21,1547.23
142,1547.4,1547.23
143,1547.98,1547.24
144,1547.59,1547.24
145,1548.17,1547.25
146,1547.78,1547.25
147,1547.59,1547.26
148,1547.5,1547.26
149,1547.88,1547.27
150,1547.98,1547.27
151,1547.4,1547.27
152,1547.4,1547.27
153,1547.78,1547.28
154,1547.78,1547.28
155,1547.69,1547.29
156,1547.78,1547.29
157,1548.07,1547.3
158,1547.4,1547.3
159,1547.59,1547.3
160,1547.78,1547.3
161,1547.98,1547.31
162,1547.4,1547.31
163,1547.3,1547.31
164,1547.4,1547.31
165,1547.5,1547.31
166,1547.5,1547.31
167,1547.78,1547.32
168,1547.98,1547.32
169,1547.5,1547.32
170,1547.69,1547.33
171,1547.69,1547.33
172,1547.69,1547.33
173,1547.69,1547.34
174,1547.78,1547.34
175,1547.59,1547.34
176,1547.11,1547.34
177,1547.88,1547.34
178,1547.88,1547.35
179,1548.07,1547.35
180,1548.07,1547.36
181,1548.45,1547.37
182,1547.5,1547.37
183,1548.17,1547.37
184,1547.88,1547.38
185,1547.88,1547.38
186,1548.07,1547.39
187,1548.26,1547.39
188,1547.59,1547.39
189,1547.78,1547.4
190,1547.69,1547.4
191,1548.07,1547.41
192,1547.78,1547.41
193,1547.5,1547.41
194,1547.98,1547.41
195,1548.07,1547.42
196,1548.65,1547.43
197,1547.98,1547.43
198,1547.88,1547.43
199,1548.55,1547.44
200,1548.07,1547.45
201,1547.78,1547.45
202,1548.17,1547.45
203,1548.07,1547.46
204,1547.88,1547.46
205,1547.98,1547.47
206,1548.55,1547.47
207,1547.98,1547.48
208,1547.78,1547.48
209,1547.98,1547.48
210,1548.07,1547.49
211,1548.93,1547.5
212,1548.07,1547.5
213,1547.98,1547.51
214,1547.78,1547.51
215,1547.78,1547.51
216,1548.55,1547.52
217,1547.69,1547.52
218,1548.07,1547.52
219,1547.69,1547.52
220,1548.45,1547.53
221,1547.78,1547.53
222,1547.78,1547.53
223,1547.78,1547.54
224,1547.78,1547.54
225,1547.98,1547.54
226,1548.07,1547.54
227,1548.26,1547.55
228,1548.17,1547.55
229,1548.07,1547.56
230,1547.98,1547.56
231,1548.55,1547.57
232,1548.26,1547.57
233,1547.98,1547.57
234,1548.17,1547.58
235,1548.55,1547.59
236,1548.07,1547.59
237,1548.17,1547.59
238,1548.07,1547.6
239,1548.26,1547.6
240,1548.26,1547.61
241,1548.26,1547.61
242,1548.55,1547.62
243,1548.55,1547.62
244,1548.26,1547.63
245,1548.45,1547.63
246,1548.45,1547.64
247,1548.45,1547.64
248,1548.84,1547.65
249,1548.65,1547.66
250,1548.65,1547.67
251,1548.93,1547.68
252,1548.26,1547.68
253,1548.65,1547.69
254,1548.55,1547.69
255,1548.45,1547.7
256,1548.26,1547.7
257,1548.55,1547.71
258,1548.84,1547.72
259,1549.03,1547.73
260,1548.74,1547.73
261,1548.65,1547.74
262,1548.74,1547.75
263,1548.45,1547.75
264,1548.74,1547.76
265,1548.65,1547.77
266,1548.74,1547.77
267,1548.74,1547.78
268,1548.65,1547.79
269,1548.55,1547.79
270,1548.17,1547.79
271,1548.55,1547.8
272,1549.03,1547.81
273,1548.26,1547.81
274,1549.32,1547.82
275,1548.65,1547.83
276,1549.03,1547.84
277,1548.84,1547.85
278,1548.55,1547.85
279,1548.93,1547.86
280,1548.84,1547.87
281,1548.84,1547.87
282,1548.65,1547.88
283,1548.93,1547.89
284,1548.74,1547.89
285,1548.45,1547.9
286,1549.03,1547.91
287,1548.65,1547.91
288,1549.22,1547.92
289,1549.13,1547.93
290,1549.03,1547.94
291,1548.93,1547.95
292,1549.03,1547.95
293,1548.65,1547.96
294,1548.84,1547.97
295,1548.74,1547.97
296,1548.93,1547.98
297,1549.13,1547.99
298,1548.93,1548.0
299,1548.84,1548.0
300,1549.22,1548.01
301,1549.03,1548.02
302,1549.32,1548.03
303,1549.13,1548.04
304,1549.13,1548.05
305,1548.84,1548.05
306,1549.13,1548.06
307,1548.93,1548.07
308,1548.26,1548.07
309,1548.45,1548.07
310,1548.84,1548.08
311,1549.03,1548.09
312,1548.93,1548.09
313,1549.22,1548.1
314,1549.22,1548.11
315,1548.93,1548.12
316,1548.84,1548.12
317,1548.74,1548.13
318,1548.55,1548.13
319,1548.45,1548.13
320,1548.84,1548.14
321,1548.55,1548.14
322,1548.65,1548.15
323,1549.13,1548.15
324,1549.03,1548.16
325,1548.84,1548.17
326,1548.74,1548.17
327,1548.74,1548.17
328,1548.74,1548.18
329,1548.65,1548.18
330,1548.55,1548.19
331,1548.74,1548.19
332,1548.55,1548.19
333,1548.65,1548.2
334,1548.26,1548.2
335,1548.26,1548.2
336,1548.74,1548.2
337,1547.98,1548.2
338,1548.55,1548.2
339,1548.55,1548.2
340,1548.65,1548.21
341,1548.65,1548.21
342,1548.26,1548.21
343,1548.45,1548.21
344,1548.74,1548.22
345,1548.45,1548.22
346,1548.65,1548.22
347,1548.26,1548.22
348,1548.26,1548.22
349,1548.55,1548.22
350,1548.55,1548.23
351,1548.45,1548.23
352,1548.17,1548.23
353,1548.45,1548.23
354,1548.17,1548.23
355,1548.26,1548.23
356,1548.07,1548.23
357,1548.65,1548.23
358,1548.45,1548.23
359,1548.17,1548.23
360,1548.84,1548.24
361,1548.07,1548.23
362,1548.17,1548.23
363,1548.65,1548.24
364,1548.84,1548.24
365,1548.65,1548.24
366,1548.55,1548.25
367,1548.45,1548.25
368,1548.65,1548.25
