Index, Raw, Filtered
0, 9.78, 9.77
1, 10.07, 9.92
2, 10.19, 10.02
3, 10.09, 10.04
4, 10.15, 10.07
5, 10.13, 10.08
6, 10.11, 10.09
7, 10.06, 10.08
8, 10.05, 10.07
9, 10.07, 10.07
10, 9.82, 10.01
11, 9.76, 9.95
12, 10.08, 9.98
13, 10.14, 10.02
14, 10.36, 10.10
15, 10.46, 10.19
16, 10.37, 10.24
17, 10.32, 10.25
18, 10.23, 10.25
19, 10.08, 10.21
20, 10.22, 10.21
21, 10.28, 10.22
22, 10.16, 10.21
23, 10.19, 10.20
24, 10.18, 10.19
25, 10.14, 10.18
26, 9.95, 10.12
27, 10.05, 10.10
28, 10.11, 10.10
29, 9.95, 10.06
30, 9.64, 9.95
31, 10.07, 9.98
32, 14.96, 11.22
33, 18.78, 13.11
34, 14.71, 13.51
35, 11.04, 12.89
36, 8.78, 11.86
37, 7.16, 10.68
38, 5.51, 9.38
39, 4.24, 8.10
40, 2.82, 6.77
41, 1.44, 5.44
42, 1.23, 4.38
43, 1.88, 3.76
44, 3.81, 3.77
45, 7.48, 4.69
46, 8.66, 5.68
47, 10.03, 6.76
48, 12.59, 8.22
49, 12.93, 9.39
50, 16.74, 11.22
51, 18.68, 13.09
52, 17.60, 14.21
53, 15.14, 14.44
54, 14.32, 14.41
55, 11.01, 13.55
56, 9.30, 12.49
57, 7.14, 11.15
58, 7.74, 10.29
59, 5.94, 9.20
60, 5.49, 8.27
61, 3.32, 7.03
62, 1.47, 5.64
63, 1.06, 4.49
64, 0.24, 3.43
65, 0.24, 2.63
66, 1.75, 2.40
67, 3.49, 2.67
68, 6.62, 3.66
69, 10.53, 5.37
70, 10.79, 6.72
71, 13.17, 8.33
72, 11.35, 9.08
73, 12.90, 10.03
74, 16.43, 11.63
75, 16.47, 12.83
76, 14.12, 13.15
77, 13.77, 13.30
78, 10.57, 12.62
79, 9.01, 11.71
80, 8.01, 10.78
81, 8.17, 10.13
82, 6.26, 9.16
83, 4.69, 8.04
84, 1.60, 6.43
85, -0.36, 4.73
86, -1.61, 3.14
87, -0.71, 2.17
88, -0.35, 1.54
89, 1.98, 1.65
90, 3.86, 2.20
91, 5.54, 3.03
92, 9.99, 4.77
93, 15.92, 7.55
94, 18.13, 10.19
95, 17.98, 12.14
96, 14.94, 12.83
97, 14.39, 13.22
98, 11.75, 12.85
99, 9.60, 12.03
100, 8.00, 11.02
101, 6.52, 9.89
102, 5.87, 8.88
103, 5.69, 8.08
104, 7.66, 7.97
105, 8.38, 8.07
106, 8.52, 8.18
107, 7.42, 7.99
108, 9.44, 8.35
109, 11.05, 9.02
110, 10.54, 9.40
111, 11.15, 9.83
112, 13.60, 10.77
113, 13.38, 11.42
114, 9.26, 10.88
115, 3.90, 9.13
116, 0.95, 7.08
117, 1.57, 5.70
118, 2.16, 4.81
119, 3.15, 4.39
120, 5.74, 4.73
121, 7.92, 5.52
122, 8.41, 6.24
123, 9.90, 7.15
124, 10.86, 8.07
125, 12.36, 9.14
126, 14.23, 10.41
127, 16.65, 11.97
128, 19.73, 13.90
129, 19.58, 15.32
130, 16.72, 15.67
131, 13.22, 15.05
132, 10.31, 13.86
133, 6.85, 12.11
134, 4.01, 10.08
135, 1.88, 8.03
136, 0.62, 6.17
137, 0.37, 4.72
138, 1.11, 3.81
139, 2.54, 3.49
140, 4.09, 3.64
141, 7.63, 4.63
142, 14.10, 7.00
143, 18.80, 9.94
144, 23.84, 13.41
145, 28.29, 17.13
146, 22.33, 18.42
147, 17.98, 18.31
148, 12.50, 16.85
149, 9.85, 15.10
150, 2.54, 11.96
151, -1.33, 8.63
152, -2.03, 5.96
153, -2.11, 3.94
154, -1.34, 2.62
155, 2.41, 2.56
156, 10.10, 4.44
157, 12.59, 6.48
158, 11.40, 7.70
159, 16.29, 9.85
160, 16.94, 11.62
161, 19.93, 13.69
162, 22.74, 15.95
163, 20.71, 17.13
164, 18.06, 17.36
165, 16.57, 17.16
166, 13.28, 16.19
167, 9.04, 14.40
168, 5.85, 12.26
169, 2.71, 9.87
170, -2.34, 6.81
171, -3.39, 4.26
172, -1.47, 2.82
173, -0.44, 2.00
174, 0.92, 1.73
175, 5.32, 2.62
176, 7.69, 3.88
177, 8.52, 5.04
178, 14.54, 7.41
179, 18.24, 10.11
180, 23.57, 13.47
181, 28.39, 17.20
182, 22.49, 18.51
183, 17.59, 18.28
184, 14.44, 17.31
185, 9.52, 15.36
186, 5.31, 12.84
187, 1.62, 10.03
188, 0.28, 7.59
189, 0.20, 5.74
190, -0.05, 4.29
191, 0.49, 3.33
192, 4.70, 3.67
193, 7.50, 4.63
194, 9.14, 5.75
195, 10.81, 7.01
196, 12.59, 8.40
197, 14.96, 10.04
198, 15.80, 11.47
199, 18.57, 13.24
200, 20.83, 15.13
201, 19.59, 16.24
202, 16.76, 16.37
203, 12.83, 15.48
204, 8.90, 13.83
205, 6.53, 12.00
206, 3.96, 9.99
207, 2.71, 8.17
208, 0.95, 6.36
209, 0.37, 4.86
210, 1.44, 4.00
211, 5.07, 4.26
212, 5.39, 4.54
213, 6.57, 5.05
214, 9.99, 6.28
215, 15.39, 8.55
216, 14.03, 9.92
217, 13.84, 10.89
218, 8.84, 10.38
219, 9.06, 10.04
220, 14.37, 11.12
221, 23.86, 14.30
222, 20.68, 15.89
