Index, Raw, Filtered
0, 1558.04, 1554.48
1, 1558.04, 1558.15
2, 1557.47, 1558.91
3, 1557.95, 1559.14
4, 1557.66, 1558.93
5, 1557.76, 1558.80
6, 1558.04, 1558.83
7, 1558.24, 1558.91
8, 1557.76, 1558.76
9, 1558.04, 1558.77
10, 1557.66, 1558.63
11, 1557.56, 1558.51
12, 1557.95, 1558.55
13, 1558.33, 1558.70
14, 1557.47, 1558.56
15, 1557.76, 1558.55
16, 1557.66, 1558.52
17, 1557.76, 1558.53
18, 1557.28, 1558.41
19, 1557.76, 1558.46
20, 1557.56, 1558.46
21, 1557.47, 1558.44
22, 1557.56, 1558.46
23, 1558.24, 1558.64
24, 1558.14, 1558.78
25, 1557.66, 1558.77
26, 1558.14, 1558.89
27, 1558.24, 1559.02
28, 1558.24, 1559.13
29, 1557.85, 1559.13
30, 1558.52, 1559.30
31, 1558.14, 1559.34
32, 1558.14, 1559.39
33, 1558.04, 1559.41
34, 1558.24, 1559.48
35, 1558.33, 1559.56
36, 1558.04, 1559.56
37, 1558.33, 1559.63
38, 1558.43, 1559.72
39, 1557.66, 1559.62
40, 1557.76, 1559.57
41, 1558.33, 1559.66
42, 1557.66, 1559.58
43, 1558.33, 1559.68
44, 1557.76, 1559.63
45, 1557.66, 1559.57
46, 1557.85, 1559.58
47, 1557.95, 1559.60
48, 1558.04, 1559.65
49, 1557.76, 1559.63
50, 1557.85, 1559.64
51, 1557.85, 1559.64
52, 1558.33, 1559.76
53, 1558.14, 1559.82
54, 1558.24, 1559.89
55, 1558.04, 1559.90
56, 1558.24, 1559.96
57, 1557.85, 1559.92
58, 1557.95, 1559.91
59, 1558.33, 1560.00
60, 1558.24, 1560.04
61, 1557.95, 1560.02
62, 1558.43, 1560.10
63, 1558.33, 1560.15
64, 1558.04, 1560.13
65, 1558.04, 1560.11
66, 1558.04, 1560.10
67, 1558.52, 1560.20
68, 1558.52, 1560.28
69, 1558.33, 1560.30
70, 1558.24, 1560.29
71, 1558.52, 1560.36
72, 1558.14, 1560.32
73, 1558.33, 1560.33
74, 1558.24, 1560.32
75, 1559.00, 1560.49
76, 1558.33, 1560.47
77, 1558.71, 1560.54
78, 1558.62, 1560.58
79, 1558.62, 1560.60
80, 1558.52, 1560.60
81, 1559.00, 1560.71
82, 1558.62, 1560.71
83, 1558.24, 1560.62
84, 1557.95, 1560.49
85, 1558.62, 1560.52
86, 1558.33, 1560.49
87, 1558.04, 1560.39
88, 1558.43, 1560.40
89, 1558.52, 1560.43
90, 1558.14, 1560.36
91, 1558.43, 1560.37
92, 1558.04, 1560.29
93, 1558.62, 1560.35
94, 1558.62, 1560.40
95, 1558.62, 1560.43
96, 1558.71, 1560.48
97, 1558.81, 1560.55
98, 1558.43, 1560.51
99, 1558.14, 1560.41
100, 1558.52, 1560.42
