Time,Altitude,Vertical_velocity,Vertical_acceleration,Gravitational_acceleration
0,0,0,-7.6787,9.7757
0.01,0,0,-3.7418,9.7757
0.02,0,0,-1.2441,9.7757
0.03,0,0,0.5562,9.7757
0.04,2.783e-5,0.0055669,2.3568,9.7757
0.05,2.0136e-4,0.029141,4.3188,9.7757
0.06,7.0874e-4,0.072337,6.7484,9.7757
0.07,0.0017696,0.13983,9.2083,9.7757
0.08,0.0036284,0.23193,11.651,9.7757
0.09,0.0065303,0.34846,13.522,9.7757
0.1,0.010691,0.48371,15.014,9.7757
0.11,0.016279,0.63388,15.572,9.7757
0.12,0.023397,0.78963,15.903,9.7757
0.13,0.032088,0.94869,16.233,9.7757
0.14,0.042387,1.111,16.625,9.7757
0.15,0.054329,1.2773,17.105,9.7757
0.16,0.067957,1.4484,17.586,9.7757
0.17,0.083321,1.6243,18.067,9.7757
0.18,0.10047,1.805,18.723,9.7757
0.19,0.11945,1.9923,19.887,9.7757
0.2,0.14037,2.1912,21.084,9.7757
0.21,0.16334,2.402,22.281,9.7757
0.22,0.18847,2.6249,23.479,9.7757
0.23,0.21589,2.8597,24.677,9.7757
0.24,0.24573,3.1065,25.875,9.7757
0.25,0.27809,3.3653,27.073,9.7757
0.26,0.31309,3.6361,28.048,9.7757
0.27,0.35086,3.9166,28.799,9.7757
0.28,0.39146,4.2047,29.552,9.7757
0.29,0.43499,4.5003,30.304,9.7757
0.3,0.48151,4.8034,31.057,9.7757
0.31,0.53109,5.114,31.55,9.7757
0.32,0.58381,5.4296,31.785,9.7757
0.33,0.6397,5.7475,32.02,9.7757
0.34,0.69877,6.0677,32.255,9.7757
0.35,0.76106,6.3903,32.49,9.7757
0.36,0.82659,6.7153,32.725,9.7757
0.37,0.89538,7.0426,32.96,9.7757
0.38,0.96745,7.3723,33.195,9.7757
0.39,1.0428,7.7043,33.374,9.7757
0.405,1.1622,8.2058,33.784,9.7757
0.4275,1.3554,8.9676,34.199,9.7757
0.46125,1.6775,10.124,34.65,9.7757
0.51125,2.2271,11.861,35.416,9.7757
0.55907,2.8348,13.555,36.195,9.7757
0.60331,3.47,15.156,35.893,9.7757
0.6446,4.1263,16.638,35.269,9.7757
0.68594,4.8444,18.095,34.703,9.7757
0.72952,5.6658,19.605,34.14,9.7757
0.77672,6.6292,21.212,33.473,9.7757
0.82672,7.7316,22.88,32.657,9.7757
0.87672,8.9163,24.505,30.707,9.7757
0.92672,10.18,26.031,28.148,9.7757
0.97672,11.516,27.428,25.351,9.7756
1.0267,12.919,28.683,22.503,9.7756
1.0767,14.381,29.796,19.612,9.7756
1.1252,15.85,30.738,16.903,9.7756
1.1603,16.937,31.334,15.304,9.7756
1.1887,17.833,31.769,13.958,9.7756
1.2136,18.63,32.117,12.774,9.7756
1.2372,19.391,32.418,11.665,9.7756
1.2605,20.149,32.689,10.588,9.7756
1.2838,20.914,32.935,9.5325,9.7756
1.3074,21.695,33.161,8.4858,9.7756
1.3319,22.508,33.368,7.4198,9.7756
1.3576,23.368,33.559,5.9926,9.7756
1.3853,24.301,33.724,4.231,9.7756
1.4162,25.343,33.854,2.2652,9.7756
1.4537,26.615,33.935,-1.2023,9.7756
1.5037,28.31,33.853,-6.4764,9.7756
1.5537,29.995,33.534,-9.4409,9.7756
1.6037,31.66,33.064,-10.432,9.7756
1.6537,33.3,32.545,-10.355,9.7756
1.6922,34.546,32.146,-10.322,9.7756
1.7273,35.667,31.785,-10.292,9.7756
1.7596,36.69,31.452,-10.273,9.7756
1.7912,37.677,31.128,-10.27,9.7756
1.8247,38.715,30.784,-10.263,9.7756
1.8601,39.797,30.421,-10.26,9.7756
1.8985,40.96,30.026,-10.269,9.7756
1.9447,42.335,29.552,-10.265,9.7756
1.9947,43.8,29.039,-10.26,9.7755
2.0447,45.239,28.526,-10.274,9.7755
2.0947,46.652,28.011,-10.299,9.7755
2.1447,48.04,27.496,-10.329,9.7755
2.1947,49.402,26.978,-10.381,9.7755
2.2447,50.738,26.459,-10.397,9.7755
2.2947,52.048,25.938,-10.421,9.7755
2.3447,53.332,25.417,-10.439,9.7755
2.3947,54.589,24.895,-10.418,9.7755
2.4447,55.821,24.375,-10.405,9.7755
2.4947,57.027,23.854,-10.433,9.7755
2.5447,58.207,23.332,-10.428,9.7755
2.5947,59.36,22.812,-10.377,9.7755
2.6447,60.488,22.295,-10.309,9.7755
2.6947,61.59,21.781,-10.24,9.7755
2.7447,62.666,21.271,-10.174,9.7755
2.7947,63.717,20.763,-10.128,9.7755
2.8447,64.742,20.258,-10.077,9.7755
2.8947,65.743,19.755,-10.031,9.7755
2.9447,66.718,19.255,-9.9954,9.7755
2.9947,67.668,18.756,-9.9672,9.7755
3.0447,68.593,18.258,-9.9509,9.7755
3.0947,69.494,17.76,-9.9347,9.7755
3.1447,70.369,17.264,-9.9097,9.7755
3.1947,71.22,16.77,-9.8818,9.7755
3.2447,72.046,16.276,-9.8557,9.7755
3.2947,72.848,15.784,-9.84,9.7755
3.3447,73.625,15.292,-9.8308,9.7755
3.3947,74.377,14.801,-9.8253,9.7755
3.4447,75.105,14.31,-9.8113,9.7755
3.4947,75.808,13.819,-9.8142,9.7755
3.5447,76.487,13.328,-9.8099,9.7754
3.5947,77.141,12.838,-9.8096,9.7754
3.6447,77.771,12.348,-9.7829,9.7754
3.6947,78.376,11.859,-9.7775,9.7754
3.7447,78.956,11.37,-9.7945,9.7754
3.7947,79.513,10.88,-9.8173,9.7754
3.8447,80.044,10.388,-9.8305,9.7754
3.8947,80.552,9.897,-9.8268,9.7754
3.9447,81.034,9.4055,-9.834,9.7754
3.9947,81.492,8.9133,-9.8523,9.7754
4.0447,81.925,8.4205,-9.8602,9.7754
4.0947,82.334,7.9274,-9.8636,9.7754
4.1447,82.718,7.4344,-9.8539,9.7754
4.1947,83.078,6.9419,-9.8468,9.7754
4.2447,83.412,6.4496,-9.845,9.7754
4.2947,83.723,5.9575,-9.8363,9.7754
4.3447,84.008,5.4658,-9.8348,9.7754
4.3947,84.269,4.9744,-9.8184,9.7754
4.4447,84.506,4.4837,-9.8106,9.7754
4.4947,84.718,3.9934,-9.8002,9.7754
4.5447,84.905,3.5036,-9.7924,9.7754
4.5947,85.068,3.0144,-9.7769,9.7754
4.6447,85.206,2.526,-9.7574,9.7754
4.6947,85.321,2.0384,-9.7478,9.7754
4.7447,85.41,1.5513,-9.7351,9.7754
4.7947,85.476,1.0648,-9.7258,9.7754
4.8447,85.517,0.57876,-9.7154,9.7754
4.8947,85.534,0.093291,-9.7032,9.7754
4.9447,85.526,-0.39153,-9.6899,9.7754
4.9947,85.494,-0.87571,-9.6777,9.7754
5.0002,85.489,-0.89693,0.9786,9.7754
5.0035,85.486,-0.89509,0.5634,9.7754
5.0071,85.483,-0.89454,0.15438,9.7754
