Index, RawAltitude, KalmanAltitude, ax, ay, az, Acceleration, isApogee1, isApogee2, isApogee3
0 , 1566.97, 1554.67, 1.70, 4.99, 0.59, 9.33, 0, 0, 0
1 , 1567.93, 1560.07, 3.19, 5.18, 0.66, 8.96, 0, 0, 0
2 , 1567.93, 1562.51, 4.65, 5.97, 0.02, 9.88, 0, 0, 0
3 , 1568.12, 1564.03, 6.03, 6.31, -0.45, 9.25, 0, 0, 0
4 , 1567.74, 1565.04, 7.20, 5.32, 0.96, 8.75, 0, 0, 0
5 , 1568.02, 1565.90, 8.28, 3.51, 3.73, 8.65, 0, 0, 0
6 , 1568.12, 1566.64, 9.14, 2.31, 5.28, 6.60, 0, 0, 0
7 , 1568.12, 1567.28, 9.80, 2.17, 5.74, 6.76, 0, 0, 0
8 , 1568.60, 1567.92, 10.44, 2.19, 5.79, 7.42, 0, 0, 0
9 , 1568.22, 1568.41, 10.77, 0.02, 6.45, 8.21, 0, 0, 0
10 , 1568.02, 1568.80, 10.89, 0.45, 5.23, 8.63, 0, 0, 0
11 , 1568.41, 1569.20, 11.02, -1.17, 4.50, 8.93, 0, 0, 0
12 , 1568.41, 1569.53, 11.05, -2.53, 4.49, 9.20, 0, 0, 0
13 , 1568.41, 1569.81, 10.99, -3.56, 6.17, 9.00, 0, 0, 0
14 , 1568.31, 1570.02, 10.78, -3.73, 6.87, 6.75, 0, 0, 0
15 , 1568.50, 1570.21, 10.48, -3.38, 7.35, 3.61, 0, 0, 0
16 , 1568.31, 1570.33, 10.02, -3.05, 8.23, 1.38, 0, 0, 0
17 , 1568.50, 1570.44, 9.54, -2.88, 8.81, -0.38, 0, 0, 0
18 , 1568.89, 1570.59, 9.10, -2.53, 8.89, -1.47, 0, 0, 0
19 , 1568.50, 1570.64, 8.55, -1.82, 8.42, -1.60, 0, 0, 0
20 , 1568.12, 1570.62, 7.93, -1.60, 8.54, -1.76, 0, 0, 0
21 , 1568.31, 1570.61, 7.34, -1.22, 8.22, -2.73, 0, 0, 0
22 , 1568.31, 1570.59, 6.80, -2.37, 8.57, -2.15, 0, 0, 0
23 , 1568.22, 1570.55, 6.30, -4.30, 9.93, -1.27, 0, 0, 0
24 , 1568.70, 1570.57, 5.87, -4.07, 7.69, -2.18, 0, 0, 0
25 , 1568.12, 1570.50, 5.37, -5.03, 7.02, -2.40, 0, 0, 0
26 , 1568.31, 1570.44, 4.90, -5.58, 6.73, -3.19, 0, 0, 0
27 , 1567.93, 1570.34, 4.42, -5.60, 6.20, -2.69, 0, 0, 0
28 , 1567.93, 1570.23, 3.94, -7.01, 5.03, -3.71, 0, 0, 0
29 , 1567.83, 1570.11, 3.47, -6.91, 3.90, -3.78, 0, 0, 0
30 , 1568.31, 1570.05, 3.07, -6.73, 3.31, -4.05, 0, 0, 0
31 , 1568.02, 1569.95, 2.65, -7.76, 2.68, -4.15, 0, 0, 0
32 , 1567.93, 1569.84, 2.25, -8.34, 2.30, -3.96, 0, 0, 0
